iter	Passed	Remaining
1317	24349	12599
1318	24368	12581
1319	24397	12568
1320	24415	12549
1321	24432	12530
1322	24449	12511
1323	24466	12492
1324	24484	12473
1325	24500	12453
1326	24517	12434
1327	24535	12415
1328	24553	12396
1329	24572	12378
1330	24598	12363
1331	24633	12353
1332	24664	12341
1333	24682	12322
1334	24699	12303
1335	24715	12283
1336	24731	12264
1337	24748	12244
1338	24766	12225
1339	24784	12207
1340	24804	12189
1341	24821	12170
1342	24837	12150
1343	24853	12130
1344	24870	12111
1345	24886	12091
1346	24902	12072
1347	24918	12052
1348	24935	12033
1349	24954	12015
1350	24979	11999
1351	25004	11984
1352	25019	11964
1353	25033	11943
1354	25045	11922
1355	25059	11901
1356	25075	11881
1357	25094	11863
1358	25110	11843
1359	25125	11823
1360	25140	11803
1361	25155	11783
1362	25170	11763
1363	25187	11744
1364	25204	11725
1365	25221	11705
1366	25236	11686
1367	25253	11667
1368	25271	11647
1369	25289	11629
1370	25306	11610
1371	25323	11591
1372	25338	11571
1373	25353	11551
1374	25370	11531
1375	25387	11512
1376	25404	11493
1377	25420	11474
1378	25436	11454
1379	25460	11438
1380	25483	11422
1381	25498	11402
1382	25515	11383
1383	25531	11363
1384	25546	11343
1385	25561	11323
1386	25576	11303
1387	25594	11285
1388	25609	11265
1389	25624	11245
1390	25648	11229
1391	25677	11215
1392	25703	11200
1393	25720	11181
1394	25734	11160
1395	25749	11141
1396	25768	11122
1397	25783	11102
1398	25798	11082
1399	25815	11063
1400	25830	11043
1401	25846	11024
1402	25860	11004
1403	25874	10983
1404	25891	10964
1405	25907	10945
1406	25924	10926
1407	25940	10906
1408	25962	10889
1409	25977	10870
1410	25992	10850
1411	26009	10831
1412	26032	10814
1413	26054	10797
1414	26073	10779
1415	26088	10759
1416	26104	10740
1417	26119	10720
1418	26135	10700
1419	26151	10681
1420	26166	10661
1421	26180	10641
1422	26194	10621
1423	26209	10601
1424	26225	10582
1425	26240	10562
1426	26255	10542
1427	26271	10523
1428	26288	10504
1429	26304	10485
1430	26321	10466
1431	26336	10446
1432	26351	10426
1433	26367	10407
1434	26383	10387
1435	26397	10367
1436	26413	10348
1437	26430	10329
1438	26445	10309
1439	26460	10290
1440	26476	10270
1441	26491	10251
1442	26508	10232
1443	26523	10212
1444	26539	10193
1445	26554	10173
1446	26569	10154
1447	26583	10134
1448	26600	10115
1449	26618	10096
1450	26648	10082
1451	26676	10068
1452	26720	10059
1453	26752	10045
1454	26775	10029
1455	26790	10009
1456	26807	9990
1457	26822	9971
1458	26838	9951
1459	26853	9931
1460	26868	9912
1461	26885	9893
1462	26905	9875
1463	26927	9858
1464	26945	9840
1465	26968	9823
1466	26990	9806
1467	27009	9788
1468	27028	9770
1469	27048	9752
1470	27067	9734
1471	27088	9716
1472	27112	9700
1473	27130	9681
1474	27148	9663
1475	27163	9643
1476	27177	9623
1477	27190	9603
1478	27202	9582
1479	27217	9563
1480	27230	9542
1481	27244	9522
1482	27257	9502
1483	27270	9482
1484	27282	9461
1485	27295	9441
1486	27307	9420
1487	27319	9400
1488	27332	9380
1489	27345	9359
1490	27359	9339
1491	27373	9320
1492	27385	9299
1493	27397	9279
1494	27412	9259
1495	27433	9242
1496	27457	9225
1497	27474	9206
1498	27489	9187
1499	27502	9167
1500	27517	9147
1501	27530	9127
1502	27543	9107
1503	27556	9087
1504	27570	9068
1505	27584	9048
1506	27596	9027
1507	27609	9007
1508	27624	8988
1509	27639	8969
1510	27653	8949
1511	27670	8930
1512	27683	8910
1513	27697	8890
1514	27709	8870
1515	27725	8851
1516	27738	8831
1517	27753	8812
1518	27785	8798
1519	27806	8781
1520	27831	8764
1521	27843	8744
1522	27856	8724
1523	27870	8704
1524	27883	8684
1525	27895	8664
1526	27910	8645
1527	27925	8626
1528	27939	8606
1529	27952	8586
1530	27971	8568
1531	27984	8548
1532	27999	8529
1533	28016	8510
1534	28033	8492
1535	28050	8473
1536	28065	8454
1537	28080	8434
1538	28096	8416
1539	28112	8397
1540	28134	8380
1541	28156	8362
